timestamp,tweet_text,retweets,likes
2025-03-29 22:20:27+00:00,"@MrBeast Coined. 

https://t.co/Avxn49kVq9",0,0
2025-03-29 22:18:54+00:00,"@AshtonHallofc @MrBeast Coined.

https://t.co/Avxn49kVq9",0,1
2025-03-29 22:10:01+00:00,"Day 8 
Missed yesterday 
https://t.co/wBentzqiwF https://t.co/kqU16kBD8X",0,0
2025-03-29 22:01:20+00:00,"Day #12 on @zora:
https://t.co/09DwaEkwOt",1,5
2025-03-29 21:54:14+00:00,"Ghost Glitch - ""Everything is a coin now. Clank Clank.""
@zora @clankeronbase @_proxystudio @base 
Link below⏬ https://t.co/GprI8j582D",4,4
2025-03-29 21:44:33+00:00,"https://t.co/PZW49R3CD2 
Saw this on Facebook,I took it a long time ago. Coined in Zora.✨",0,0
2025-03-29 21:43:31+00:00,"https://t.co/lIrWo3svpM 
Started Zora and I've decided to coin my photographic skills there.✨",0,0
2025-03-29 21:31:12+00:00,Trade Horse high boost to rainbow clowds https://t.co/76j9DySgcy https://t.co/jFOdCoS3p6,0,1
2025-03-29 21:26:34+00:00,"As a @spicenetio ambassador...while solving the puzzle of what to cook for the week

I decided to take some shots 😁

I loved this one...and I left it onchain 🌱

https://t.co/auH6D9hSNg",0,4
2025-03-29 21:22:01+00:00,"@0xMerp Take a picture 
Coin it on Zora
Cast the link on /Zora channel on farcaster 
Get paid 20 to 80 $OP tokens 
Swap them to USDT
Go degen on perps 
1) wait for Ethereum price to go up
2) open a 50x short position
3) rinse, repeat
👾",0,1
2025-03-29 21:13:52+00:00,@Coin_Archaic @MrBossMan90 @mufc_mrself @EngrBjnr @ChefChelz @unrulyzeee @EverythingOnXX @huo_main @abena_yao @Obasi_C_J @zora_254 Connected,0,1
